index,id,title,url,duration_seconds,channel,channel_id,source_playlist_url
25,cmGxNTazyd4,學霸女神：艱辛的矽谷跳槽經驗 @aliceinsiliconwonderland,https://www.youtube.com/watch?v=cmGxNTazyd4,1875.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
26,p2E0OyTKDv4,工程師面試 Bar 變高了？如何在面試中拿 Strong Hire,https://www.youtube.com/watch?v=p2E0OyTKDv4,1516.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
27,XGveb2bQhAI,AI 寫 Code 這麼強，工程師要怎麼生存？@kellytsaii,https://www.youtube.com/watch?v=XGveb2bQhAI,1455.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
28,Q59J5roE5lM,為什麼你投資賺不到錢？該選股還是投大盤？,https://www.youtube.com/watch?v=Q59J5roE5lM,1346.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
29,hh_oZm9kS24,世界正式進入「無規則」混亂期，台灣成為博弈的紅線？Ray Dalio 揭露美中的黑洞邏輯,https://www.youtube.com/watch?v=hh_oZm9kS24,898.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
30,_7lpGM5X8d8,軟體工程已死？AI 時代還要讀資工嗎？,https://www.youtube.com/watch?v=_7lpGM5X8d8,1504.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
31,WtLdnzwpZ8Y,我又回西雅圖了，處理我的房子,https://www.youtube.com/watch?v=WtLdnzwpZ8Y,1044.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
32,qenBa_WIpPE,市場血流成河，泡沫要爆了？一切都結束了？,https://www.youtube.com/watch?v=qenBa_WIpPE,886.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
33,jpoMabs9t4s,進 OpenAI 有多難？如何通過面試？揭密高薪背後的：生存法則,https://www.youtube.com/watch?v=jpoMabs9t4s,856.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
34,XWL5AgNh8K4,拒絕年薪上億台幣的 Offer,https://www.youtube.com/watch?v=XWL5AgNh8K4,664.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
35,lL-aGwCD5xk,其實退休沒那麼難：專訪投資前輩，如何利用高股息＋優化資產配置 @justin-fu,https://www.youtube.com/watch?v=lL-aGwCD5xk,2278.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
36,DcXyt4C-07E,開箱不丹 Paro 最有特色的 五星級 傳統宮殿飯店,https://www.youtube.com/watch?v=DcXyt4C-07E,337.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
37,IVAMrYyDYCY,數位遊牧真的那麼爽？,https://www.youtube.com/watch?v=IVAMrYyDYCY,791.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
38,P7hMRufj1y0,曾瀕臨破產、開Uber、跟父母借錢：底層掙扎過的男人 Derek @blockchaindailynews,https://www.youtube.com/watch?v=P7hMRufj1y0,3096.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
39,f_76gfumg44,說好的比特幣15萬呢？,https://www.youtube.com/watch?v=f_76gfumg44,876.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
40,IOR3txrsq64,2026年，特斯拉股東準備好了嗎？,https://www.youtube.com/watch?v=IOR3txrsq64,733.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
41,vkIh4XPu1EE,去了一趟 Vegas，我又再次愛上了寫程式,https://www.youtube.com/watch?v=vkIh4XPu1EE,705.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
42,xE4QoJ4hoC4,加密貨幣出入金完整教學｜實測全網最低手續費,https://www.youtube.com/watch?v=xE4QoJ4hoC4,1264.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
43,AFB5JNjXjsE,如何保護你的長期投資倉位？,https://www.youtube.com/watch?v=AFB5JNjXjsE,895.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
44,FusQOi4BGYw,越南來都來了,https://www.youtube.com/watch?v=FusQOi4BGYw,1214.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
45,R7zAMgiawks,我在越南每天要花多少錢？,https://www.youtube.com/watch?v=R7zAMgiawks,941.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
46,mDpxLytPUKg,2026年一口氣搞懂 網格策略,https://www.youtube.com/watch?v=mDpxLytPUKg,1029.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
47,sK-IzrpapTo,開箱我買的房車，公開價格，沒錯我之後就住這,https://www.youtube.com/watch?v=sK-IzrpapTo,530.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
48,295d-r85l_I,加密貨幣發生了什麼事？,https://www.youtube.com/watch?v=295d-r85l_I,840.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
49,e0CJBzGa0hQ,對 AI 泡沫怎麼看？,https://www.youtube.com/watch?v=e0CJBzGa0hQ,1351.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
50,e5oYYw1tXbo,選股真的能跑贏大盤嗎？公開我回測的結果,https://www.youtube.com/watch?v=e5oYYw1tXbo,873.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
51,_9Vjc25BaW4,怎麼看最近市場的震盪？,https://www.youtube.com/watch?v=_9Vjc25BaW4,1330.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
52,VLsbfzuuk6Q,10分鐘了解BNB：最硬的山寨幣,https://www.youtube.com/watch?v=VLsbfzuuk6Q,609.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
53,3NzmDiMEYP8,你現在買的車，兩年後可能歸零。,https://www.youtube.com/watch?v=3NzmDiMEYP8,773.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
54,1PEjeshVbZw,不會日文也能投資日本房地產？這家公司幫海外投資人解決所有問題,https://www.youtube.com/watch?v=1PEjeshVbZw,452.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
55,vJTm4BZsMA0,開箱 越南 峴港 最頂級海景別墅！竟然是這個價格？,https://www.youtube.com/watch?v=vJTm4BZsMA0,1150.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
56,m7iFNwj_bDQ,開箱F1 Paddock Club，30萬的門票到底值不值？,https://www.youtube.com/watch?v=m7iFNwj_bDQ,909.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
57,_g4HRf-vwIg,Crypto.com卡大更新，還值得辦嗎？,https://www.youtube.com/watch?v=_g4HRf-vwIg,607.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
58,zFeCVunJOoY,美國危機期：富人更富、窮人更窮,https://www.youtube.com/watch?v=zFeCVunJOoY,802.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
59,-dRVpWPFBCg,區塊鏈女神來了：如何從空姐到華語幣圈No.1創作者,https://www.youtube.com/watch?v=-dRVpWPFBCg,3979.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
60,CfM7JHJWe58,怎麼用台幣買比特幣？最完整教學，3分鐘搞定！,https://www.youtube.com/watch?v=CfM7JHJWe58,669.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
61,kE1NjL9hQxo,有幾股特斯拉就能財富自由？,https://www.youtube.com/watch?v=kE1NjL9hQxo,874.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
62,nOj2qKzsgLY,90%的人都忽視的面試關鍵準備：Behavioral Interview 行為面試,https://www.youtube.com/watch?v=nOj2qKzsgLY,1951.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
63,44-lmGgGzv8,我在東京每天要花多少錢？,https://www.youtube.com/watch?v=44-lmGgGzv8,1119.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
64,tk7WzzZ3CCQ,Facebook、Uber早期員工股票幾乎沒賣！矽谷大神完整心法公開,https://www.youtube.com/watch?v=tk7WzzZ3CCQ,4218.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
65,KVhL2RqVtiM,為什麼你不快樂,https://www.youtube.com/watch?v=KVhL2RqVtiM,660.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
66,dqAsQyRJHAg,一次搞懂選擇權（期權）,https://www.youtube.com/watch?v=dqAsQyRJHAg,1038.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
67,BO6tCA0MPlU,AI時代，軟體工程師刷題還有意義嗎？,https://www.youtube.com/watch?v=BO6tCA0MPlU,1267.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
68,1V6BoBHSh1k,開箱我在東京的家,https://www.youtube.com/watch?v=1V6BoBHSh1k,1021.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
69,0kBPGbsSuMs,矽谷女神 Kelly 能通過我的面試嗎？,https://www.youtube.com/watch?v=0kBPGbsSuMs,1242.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
70,L7xgc12JfHA,分享我的被動收入,https://www.youtube.com/watch?v=L7xgc12JfHA,835.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
71,s9s32vVzYIo,我能通過 G公司 工程師出的面試嗎？,https://www.youtube.com/watch?v=s9s32vVzYIo,1321.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
72,SXgn3JiTjRA,開箱不丹🇧🇹首都最精華地段房地產，竟然只要？,https://www.youtube.com/watch?v=SXgn3JiTjRA,1133.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
73,Gwn_kEegfJ4,公開我的全部身家，資產配置,https://www.youtube.com/watch?v=Gwn_kEegfJ4,909.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
74,U9xIBSYp7xQ,我來了【不丹🇧🇹】亞洲最不發達國家，竟然是比特幣巨鯨！,https://www.youtube.com/watch?v=U9xIBSYp7xQ,1525.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
75,KF3fPgSQx8E,我要去一個很神奇的國家,https://www.youtube.com/watch?v=KF3fPgSQx8E,1081.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
76,nCticKfLCj8,我定義的成功是什麼？,https://www.youtube.com/watch?v=nCticKfLCj8,1059.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
77,PvzgMhM7bK8,我們需要聊一下特斯拉,https://www.youtube.com/watch?v=PvzgMhM7bK8,792.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
78,diU75OZiuX8,完全免費的美股投資研究神器 #moomoo,https://www.youtube.com/watch?v=diU75OZiuX8,648.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
79,zWt8DOYJiTE,比亞迪真的遙遙領先特斯拉？,https://www.youtube.com/watch?v=zWt8DOYJiTE,767.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
80,uaEm4XRSAAc,我來Google東京辦公室蹭飯了,https://www.youtube.com/watch?v=uaEm4XRSAAc,1037.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
81,bsN8REhmr6M,沒人講的比特幣風險，你確定要投資？,https://www.youtube.com/watch?v=bsN8REhmr6M,720.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
82,8OjJp5jJQOs,幣圈上班真的比傳統金融賺更多嗎？,https://www.youtube.com/watch?v=8OjJp5jJQOs,716.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
83,T5DzIzHwJvk,50萬訂閱Q&A,https://www.youtube.com/watch?v=T5DzIzHwJvk,925.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
84,uFzesIxJA_E,$100美元就能在台灣收房租？,https://www.youtube.com/watch?v=uFzesIxJA_E,804.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
85,g9UHIIYBOdE,Bybit危機成轉機？OKX Wallet 自我審查竟是為了這場未爆彈？,https://www.youtube.com/watch?v=g9UHIIYBOdE,760.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
86,Z4n70osikaw,為什麼比特幣沒有任何競爭對手？,https://www.youtube.com/watch?v=Z4n70osikaw,873.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
87,zZGFt6K3kaY,專業開箱星宇航空頭等艙（西雅圖✈️台北）,https://www.youtube.com/watch?v=zZGFt6K3kaY,1312.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
88,_5BTnJElgt8,特斯拉史上最差的財報，股價卻漲30%？,https://www.youtube.com/watch?v=_5BTnJElgt8,1131.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
89,Kn82i27buV4,比特幣重回9萬，接下來呢？,https://www.youtube.com/watch?v=Kn82i27buV4,797.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
90,uHyDQHlpXM8,什麼是幣圈『擼羊毛』？真的有這麼多送錢機會嗎,https://www.youtube.com/watch?v=uHyDQHlpXM8,769.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
91,XB89ywDAzh0,2025全球最吸金手遊，竟然是？,https://www.youtube.com/watch?v=XB89ywDAzh0,550.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
92,JH8SoCsf35g,美股暴跌，我該止損嗎？,https://www.youtube.com/watch?v=JH8SoCsf35g,749.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
93,plpyrtLavn4,美國是最偉大的國家，沒有之一,https://www.youtube.com/watch?v=plpyrtLavn4,601.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
94,E17LUN8uzzQ,我的加密貨幣持倉,https://www.youtube.com/watch?v=E17LUN8uzzQ,581.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
95,OFQbCl8mLoo,特斯拉什麼時候破產？,https://www.youtube.com/watch?v=OFQbCl8mLoo,862.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
96,Id3-EiuDRw8,川普豪賭比特幣，美國即將創造更多百萬富翁？,https://www.youtube.com/watch?v=Id3-EiuDRw8,569.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
97,iOCR2iKXhOs,你真的了解風險嗎？,https://www.youtube.com/watch?v=iOCR2iKXhOs,801.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
98,9sliXt8Zs-Y,加密貨幣完整出入金教學,https://www.youtube.com/watch?v=9sliXt8Zs-Y,700.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
99,YMjsNbiWTj8,我財富自由了嗎？移居日本Q&A,https://www.youtube.com/watch?v=YMjsNbiWTj8,625.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
100,onmhfPxboTg,現在清倉加密貨幣，你在想什麼？,https://www.youtube.com/watch?v=onmhfPxboTg,560.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
101,EanJhw8oYzk,我搬到日本了,https://www.youtube.com/watch?v=EanJhw8oYzk,694.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
102,nONnDP5-SLA,我又開始加倉特斯拉了,https://www.youtube.com/watch?v=nONnDP5-SLA,877.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
103,2JjXdva3mWU,以太幣還有救嗎？為什麼上市公司開始囤以太？,https://www.youtube.com/watch?v=2JjXdva3mWU,882.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
104,PZTcQgUAGls,中國的AI要把美國卷死了嗎？,https://www.youtube.com/watch?v=PZTcQgUAGls,727.0,Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,https://www.youtube.com/@hackbearterry/videos
